Conclusion,Location,Category,Item,Source
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,"Newspapers, inserts and flyers",https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Magazines and catalogues,https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Telephone books and other directories,https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,"Writing and home office paper, paper envelopes, and notepads",https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Paper gift wrap and greeting cards,https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,"Single-use paper party décor (e.g., paper pennants, paper globes and ornaments, etc.)",https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper,Shredded paper (set shredded paper out for collection in a paper bag or small box and place in your paper collection container),https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,Hardcover or paperback books (donate or sell),https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,"Paper towels, napkins, tissues",https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,Non-paper gift wrap and foil gift wrap,https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,Padded envelopes,https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,Ribbons or bows,https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,Musical greeting cards with batteries (contact the Recycling Council of BC for battery and e-waste recycling options),https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,Rubber bands,https://recyclebc.ca/what-can-i-recycle-2/
Not Accepted,,Paper,Plastic bags used to cover newspapers/flyers (recycle at a Recycle BC depot),https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Corrugated cardboard boxes used for shipping, grocery and liquor store boxes, pizza boxes, moving boxes and Banker’s boxes",https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Cardboard and boxboard boxes used for cereal, shoes, tissues, pizza, frozen entrees, desserts, detergent, etc.",https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Cardboard packaging for cannabis product,https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Carrier trays for bulk bottled water, soft drinks, cans, food, etc.",https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Cores for paper towels and toilet tissue,https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,"Molded boxboard packaging for egg cartons, take-out beverage trays, paper-based plant pots",https://recyclebc.ca/what-can-i-recycle-2/
Accepted,"Curbside collection, Multi-family collection, Recycle BC depots",Paper Packaging and Cardboard,Paper gift bags and boxes,https://recyclebc.ca/what-can-i-recycle-2/
